"Date & Time","use [kW]","gen [kW]","12:FurnaceHRV [kW]","12:FurnaceHRV* [kVA]","13:CellarOutlets [kW]","13:CellarOutlets* [kVA]","14:WashingMachine [kW]","14:WashingMachine* [kVA]","15:FridgeRange [kW]","15:FridgeRange* [kVA]","16:DisposalDishwasher [kW]","16:DisposalDishwasher* [kVA]","17:Microwave [kW]","17:Microwave* [kVA]","18:KitchenLights [kW]","18:KitchenLights* [kVA]","19:BedroomOutlets [kW]","19:BedroomOutlets* [kVA]","20:BedroomLights [kW]","20:BedroomLights* [kVA]","21:MasterOutlets [kW]","21:MasterOutlets* [kVA]","22:MasterLights [kW]","22:MasterLights* [kVA]","23:DuctHeaterHRV [kW]","23:DuctHeaterHRV* [kVA]"
2013-07-24 23:00:00,-0.000000000,-0.000000000,-0.030337500,0.052668333,-0.089250000,0.108720833,-0.005567500,0.013234722,-0.185291111,0.234612778,-0.005082222,0.032076111,-0.003463056,0.004544167,-0.011944167,0.018720000,-0.076585278,0.077581944,-0.004881944,0.011151667,-0.049015833,0.056741389,-0.008789167,0.045486389,-0.000998611,0.002183333
2013-07-24 22:00:00,-0.000000000,-0.000000000,-0.030371389,0.053128889,-0.096721389,0.115468611,-0.005516944,0.014469444,-0.110645833,0.196643889,-0.005188611,0.031997222,-0.003479444,0.004679722,-0.003768056,0.008867778,-0.076321944,0.077366944,-0.004881111,0.011595556,-0.044769722,0.057016111,-0.008776667,0.045221389,-0.001002500,0.002303333
2013-07-24 21:00:00,-0.000000000,-0.000000000,-0.029933056,0.052583889,-0.073737500,0.091110556,-0.005524444,0.014023611,-0.078052500,0.129743889,-0.005126389,0.032008056,-0.003442222,0.004658333,-0.032198056,0.047634722,-0.076260278,0.077341111,-0.024090833,0.029565556,-0.045704444,0.056828889,-0.008767778,0.045111389,-0.000991389,0.002406111
2013-07-24 20:00:00,-0.000000000,-0.000000000,-0.029941111,0.052719167,-0.076306389,0.094607778,-0.005520000,0.014028611,-0.088315556,0.149660000,-0.005233056,0.032114722,-0.003461389,0.004660278,-0.003839167,0.008805556,-0.083653056,0.086024167,-0.024925833,0.030233333,-0.040373333,0.051716111,-0.010132778,0.046921944,-0.000997500,0.002319444
2013-07-24 19:00:00,-0.000000000,-0.000000000,-0.065035278,0.088553611,-0.073338611,0.091102500,-0.005583056,0.013806111,-0.063976667,0.105950000,-0.005354444,0.032841111,-0.003459722,0.004585278,-0.003928611,0.008764444,-0.096494722,0.101712778,-0.042590833,0.046734722,-0.040331667,0.050578333,-0.008822500,0.045588056,-0.000990833,0.002082500
2013-07-24 18:00:00,-0.000000000,-0.000000000,-0.054492222,0.077833333,-0.072746389,0.089667778,-0.005561389,0.013753611,-0.121749167,0.202876389,-0.005339722,0.032606389,-0.003476667,0.004675556,-0.003743056,0.008773611,-0.077531944,0.078716389,-0.012818333,0.019152222,-0.040111667,0.050325000,-0.008750278,0.045256667,-0.000995833,0.002318889
2013-07-24 17:00:00,-0.000000000,-0.000000000,-0.030013333,0.053011111,-0.072417222,0.089081944,-0.005538611,0.013566389,-0.075375556,0.122993889,-0.005161389,0.032218056,-0.049835833,0.055950556,-0.003954167,0.008897222,-0.076696389,0.077779722,-0.004915556,0.011483056,-0.040086944,0.049880278,-0.008745833,0.045478333,-0.001009722,0.002715278
2013-07-24 16:00:00,-0.000000000,-0.000000000,-0.029538889,0.051991111,-0.070985000,0.087785833,-0.005501389,0.013620000,-0.100941944,0.165944444,-0.005051944,0.031843333,-0.003432778,0.004729167,-0.003758333,0.008748611,-0.076084444,0.077148056,-0.004843056,0.011334722,-0.039840278,0.049829722,-0.008664167,0.044939444,-0.001002778,0.002617222
2013-07-24 15:00:00,-0.000000000,-0.000000000,-0.029885000,0.052840278,-0.063612222,0.079906111,-0.005514167,0.013911667,-0.072762778,0.123486111,-0.005128889,0.032129444,-0.003437778,0.004779722,-0.003844722,0.008808056,-0.076273889,0.077354444,-0.004886389,0.011511667,-0.039934167,0.050601667,-0.008746389,0.045238889,-0.001003611,0.002725556
2013-07-24 14:00:00,-0.000000000,-0.000000000,-0.029716944,0.052668333,-0.063750556,0.080336944,-0.005524722,0.013803333,-0.060470000,0.099665833,-0.005115833,0.032132500,-0.003437778,0.004824167,-0.003879167,0.008856667,-0.076297222,0.077409167,-0.006967222,0.013663056,-0.040224167,0.050747500,-0.008751667,0.045273056,-0.001005000,0.002865278
